,period,num_topics,perplexity,coherence_u
170,2013.0,11.0,-15.401125014590766,-18.77087118968824
171,2013.0,12.0,-15.775009139347318,-19.043245477053418
172,2013.0,13.0,-16.099066120422513,-19.383393647679334
173,2013.0,14.0,-16.511562141494636,-19.17750902144343
174,2013.0,15.0,-16.828317402097795,-18.97417467846217
175,2014.0,4.0,-12.34161971557219,-8.83599689661706
176,2014.0,5.0,-12.810659293987511,-12.403270146145653
177,2014.0,6.0,-13.262198440188287,-14.286267955716214
178,2014.0,7.0,-13.697160907145125,-16.000339113431355
179,2014.0,8.0,-14.100523791308799,-16.746746342045824
180,2014.0,9.0,-14.524563684916993,-17.09893818082677
181,2014.0,10.0,-14.936307177739431,-17.706649367481297
182,2014.0,11.0,-15.308583382555211,-18.754667900598925
183,2014.0,12.0,-15.71382549440037,-18.413368997376583
184,2014.0,13.0,-16.072281392550142,-19.094730630949055
185,2014.0,14.0,-16.45712792210155,-18.958578801698582
186,2014.0,15.0,-16.761411568027704,-18.905859043183103
187,2014.0,16.0,-17.171207968110913,-19.112506348221174
188,2015.0,4.0,-12.334445264316676,-8.953597158920957
189,2015.0,5.0,-12.794357167730086,-10.54266363335394
190,2015.0,6.0,-13.26057821271725,-14.147903352165118
191,2015.0,7.0,-13.692371345999005,-16.093970933155582
192,2015.0,8.0,-14.11942588503998,-16.962445503703627
193,2015.0,9.0,-14.52200897597124,-17.00533530720297
194,2015.0,10.0,-14.920151501615221,-17.97933194371968
195,2015.0,11.0,-15.310981443730624,-19.476581981312645
196,2015.0,12.0,-15.700794083445139,-18.760838756380316
197,2015.0,13.0,-16.06907586461046,-18.844299614623388
198,2015.0,14.0,-16.46710597887713,-19.502402021598062
199,2015.0,15.0,-16.778854015323997,-19.394734759201096
200,2015.0,16.0,-17.186915535893185,-19.588271603887918
201,2015.0,17.0,-17.358263547896378,-18.99045290459048
202,2016.0,4.0,-12.406424973120856,-10.325216207485559
203,2016.0,5.0,-12.878268731984958,-15.262983772042094
204,2016.0,6.0,-13.369832222643833,-15.589381908291998
205,2016.0,7.0,-13.783223639924957,-16.45760606182376
206,2016.0,8.0,-14.24092520389404,-17.966767785932824
207,2016.0,9.0,-14.66443107210402,-18.820822077192865
208,2016.0,10.0,-15.052365729016529,-18.460394431122875
209,2016.0,11.0,-15.42238762631756,-18.559937527946143
210,2016.0,12.0,-15.839631784677072,-18.84357517643181
211,2016.0,13.0,-16.212052601580794,-19.059843476395766
212,2016.0,14.0,-16.588725687828873,-19.417548918265343
213,2016.0,15.0,-16.92741575056253,-19.34346876628909
